absolute_paths,restriction,allow
absurd_extreme_comparisons,correctness,deny
alloc_instead_of_core,restriction,allow
allow_attributes,restriction,allow
allow_attributes_without_reason,restriction,allow
almost_complete_range,suspicious,warn
almost_swapped,correctness,deny
approx_constant,correctness,deny
arc_with_non_send_sync,suspicious,warn
arithmetic_side_effects,restriction,allow
as_conversions,restriction,allow
as_ptr_cast_mut,nursery,allow
as_underscore,restriction,allow
assertions_on_constants,style,warn
assertions_on_result_states,restriction,allow
assign_op_pattern,style,warn
async_yields_async,correctness,deny
await_holding_invalid_type,suspicious,warn
await_holding_lock,suspicious,warn
await_holding_refcell_ref,suspicious,warn
bad_bit_mask,correctness,deny
big_endian_bytes,restriction,allow
bind_instead_of_map,complexity,warn
blanket_clippy_restriction_lints,suspicious,warn
blocks_in_conditions,style,warn
bool_assert_comparison,style,warn
bool_comparison,complexity,warn
bool_to_int_with_if,pedantic,allow
borrow_as_ptr,pedantic,allow
borrow_deref_ref,complexity,warn
borrow_interior_mutable_const,style,warn
borrowed_box,complexity,warn
box_collection,perf,warn
box_default,perf,warn
boxed_local,perf,warn
branches_sharing_code,nursery,allow
builtin_type_shadow,style,warn
bytes_count_to_len,complexity,warn
bytes_nth,style,warn
cargo_common_metadata,cargo,allow
case_sensitive_file_extension_comparisons,pedantic,allow
cast_abs_to_unsigned,suspicious,warn
cast_enum_constructor,suspicious,warn
cast_enum_truncation,suspicious,warn
cast_lossless,pedantic,allow
cast_nan_to_int,suspicious,warn
cast_possible_truncation,pedantic,allow
cast_possible_wrap,pedantic,allow
cast_precision_loss,pedantic,allow
cast_ptr_alignment,pedantic,allow
cast_sign_loss,pedantic,allow
cast_slice_different_sizes,correctness,deny
cast_slice_from_raw_parts,suspicious,warn
char_lit_as_u8,complexity,warn
chars_last_cmp,style,warn
chars_next_cmp,style,warn
checked_conversions,pedantic,allow
clear_with_drain,nursery,allow
clone_on_copy,complexity,warn
clone_on_ref_ptr,restriction,allow
cloned_instead_of_copied,pedantic,allow
cmp_null,style,warn
cmp_owned,perf,warn
cognitive_complexity,nursery,allow
collapsible_else_if,style,warn
collapsible_if,style,warn
collapsible_match,style,warn
collapsible_str_replace,perf,warn
collection_is_never_read,nursery,allow
comparison_chain,style,warn
comparison_to_empty,style,warn
copy_iterator,pedantic,allow
crate_in_macro_def,suspicious,warn
create_dir,restriction,allow
crosspointer_transmute,complexity,warn
dbg_macro,restriction,allow
debug_assert_with_mut_call,nursery,allow
decimal_literal_representation,restriction,allow
declare_interior_mutable_const,style,warn
default_constructed_unit_structs,complexity,warn
default_instead_of_iter_empty,style,warn
default_numeric_fallback,restriction,allow
default_trait_access,pedantic,allow
default_union_representation,restriction,allow
deprecated_cfg_attr,complexity,warn
deprecated_semver,correctness,deny
deref_addrof,complexity,warn
deref_by_slicing,restriction,allow
derivable_impls,complexity,warn
derive_ord_xor_partial_ord,correctness,deny
derive_partial_eq_without_eq,nursery,allow
derived_hash_with_manual_eq,correctness,deny
disallowed_macros,style,warn
disallowed_methods,style,warn
disallowed_names,style,warn
disallowed_script_idents,restriction,allow
disallowed_types,style,warn
diverging_sub_expression,complexity,warn
doc_link_with_quotes,pedantic,allow
doc_markdown,pedantic,allow
double_comparisons,complexity,warn
double_must_use,style,warn
double_neg,style,warn
double_parens,complexity,warn
drain_collect,perf,warn
drop_non_drop,suspicious,warn
duplicate_mod,suspicious,warn
duplicate_underscore_argument,style,warn
duration_subsec,complexity,warn
eager_transmute,correctness,deny
else_if_without_else,restriction,allow
empty_drop,restriction,allow
empty_enum,pedantic,allow
empty_enum_variants_with_brackets,restriction,allow
empty_line_after_doc_comments,nursery,allow
empty_line_after_outer_attr,nursery,allow
empty_loop,suspicious,warn
empty_structs_with_brackets,restriction,allow
enum_clike_unportable_variant,correctness,deny
enum_glob_use,pedantic,allow
enum_variant_names,style,warn
eq_op,correctness,deny
equatable_if_let,nursery,allow
erasing_op,correctness,deny
err_expect,style,warn
error_impl_error,restriction,allow
excessive_nesting,complexity,warn
excessive_precision,style,warn
exhaustive_enums,restriction,allow
exhaustive_structs,restriction,allow
exit,restriction,allow
expect_fun_call,perf,warn
expect_used,restriction,allow
expl_impl_clone_on_copy,pedantic,allow
explicit_auto_deref,complexity,warn
explicit_counter_loop,complexity,warn
explicit_deref_methods,pedantic,allow
explicit_into_iter_loop,pedantic,allow
explicit_iter_loop,pedantic,allow
explicit_write,complexity,warn
extend_with_drain,perf,warn
extra_unused_lifetimes,complexity,warn
extra_unused_type_parameters,complexity,warn
fallible_impl_from,nursery,allow
field_reassign_with_default,style,warn
filetype_is_file,restriction,allow
filter_map_bool_then,style,warn
filter_map_identity,complexity,warn
filter_map_next,pedantic,allow
filter_next,complexity,warn
flat_map_identity,complexity,warn
flat_map_option,pedantic,allow
float_arithmetic,restriction,allow
float_cmp,pedantic,allow
float_cmp_const,restriction,allow
float_equality_without_abs,suspicious,warn
fn_address_comparisons,correctness,deny
fn_params_excessive_bools,pedantic,allow
fn_to_numeric_cast,style,warn
fn_to_numeric_cast_any,restriction,allow
fn_to_numeric_cast_with_truncation,style,warn
for_kv_map,style,warn
forget_non_drop,suspicious,warn
format_collect,perf,warn
format_in_format_args,perf,warn
format_push_string,restriction,allow
four_forward_slashes,suspicious,warn
from_iter_instead_of_collect,pedantic,allow
from_over_into,style,warn
from_raw_with_void_ptr,suspicious,warn
from_str_radix_10,style,warn
future_not_send,nursery,allow
get_first,style,warn
get_last_with_len,complexity,warn
get_unwrap,restriction,allow
host_endian_bytes,restriction,allow
identity_op,complexity,warn
